"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email\Base.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email\Full.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 1, 9, 48
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password\Base.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password\Full.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 1, 10, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username\Base.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username\Full.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\ChangeEmail.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\SendCode.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\VerifyCode.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 10, 88
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 2, 27, 245
