"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\EditProfile.js", "JavaScript", 384, 0, 0, 0, 0, 0, 0, 312, 30, 726
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\Socials.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\About.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Desktop.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 50, 16, 309
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Mobile.js", "JavaScript", 382, 0, 0, 0, 0, 0, 0, 98, 23, 503
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Tablet.js", "JavaScript", 249, 0, 0, 0, 0, 0, 0, 44, 15, 308
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Posts.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 2, 20, 156
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 10, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn\Base.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn\Full.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 3, 104
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 8, 86
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\First.js", "JavaScript", 486, 0, 0, 0, 0, 0, 0, 2, 36, 524
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\Second.js", "JavaScript", 676, 0, 0, 0, 0, 0, 0, 0, 34, 710
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\Third.js", "JavaScript", 424, 0, 0, 0, 0, 0, 0, 2, 29, 455
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Footer.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\PageVisual.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page\Base.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page\Full.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Base.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Full.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Header.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\modal\Search.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 2, 15, 152
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\server.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 6, 18, 135
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\firebase.indexes.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\firebase.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 25, 0, 29
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\.eslintrc.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 77, 10, 87
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\package-lock.json", "JSON", 0, 0, 0, 6150, 0, 0, 0, 0, 1, 6151
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\next.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\package-lock.json", "JSON", 0, 0, 0, 20279, 0, 0, 0, 0, 1, 20280
